name,result,time,num_lemmas,num_lemmas_attempted,num_lemmas_proven,result_cyclic,time_cyclic,num_lemmas_cyclic,num_attempted_lemmas_cyclic,num_proven_lemmas_cyclic
clam_1,Valid,30.30059,3,2,2,Unknown,0,0,0,0
clam_2,Valid,253.52972,4,3,3,Unknown,0,0,0,0
clam_3,Valid,17.619236,0,0,0,Unknown,0,0,0,0
clam_4,Valid,204.2349,3,1,1,Unknown,0,0,0,0
clam_5,Valid,45.828808,1,1,1,Unknown,0,0,0,0
clam_6,Valid,121.6278,1,1,1,Unknown,0,0,0,0
clam_7,Valid,76.22684,2,1,1,Unknown,0,0,0,0
clam_8,Valid,411.99576,6,2,2,Unknown,0,0,0,0
clam_9,Valid,392.45676,7,3,3,Unknown,0,0,0,0
clam_10,Valid,43.507095,1,1,1,Unknown,0,0,0,0
clam_11,Valid,3372.806,12,6,6,Unknown,0,0,0,0
clam_12,Valid,128.96523,1,1,1,Unknown,0,0,0,0
clam_13,Valid,127.591225,5,4,1,Unknown,0,0,0,0
clam_14,Timeout,60045.883,156,115,8,Unknown,0,0,0,0
clam_15,Valid,14.160591,1,1,1,Unknown,0,0,0,0
clam_16,Valid,37.925877,3,2,2,Unknown,0,0,0,0
clam_17,Valid,240.4515,4,3,3,Unknown,0,0,0,0
clam_18,Valid,3772.6938,12,9,9,Unknown,0,0,0,0
clam_19,Valid,293.55597,5,2,2,Unknown,0,0,0,0
clam_20,Valid,509.87732,6,2,2,Unknown,0,0,0,0
clam_21,Timeout,61056.93,26,17,1,Unknown,0,0,0,0
clam_22,Valid,404.37555,5,4,4,Unknown,0,0,0,0
clam_23,Valid,403.3303,5,4,4,Unknown,0,0,0,0
clam_24,Valid,54.418297,3,2,2,Unknown,0,0,0,0
clam_25,Valid,46.94866,1,1,1,Unknown,0,0,0,0
clam_26,Valid,46.568863,3,2,2,Unknown,0,0,0,0
clam_27,Valid,442.8728,6,4,4,Unknown,0,0,0,0
clam_28,Valid,2942.091,6,3,3,Unknown,0,0,0,0
clam_29,Timeout,60649.37,53,2,2,Unknown,0,0,0,0
clam_30,Valid,121.5595,4,3,3,Unknown,0,0,0,0
clam_31,Timeout,61412.91,94,0,0,Unknown,0,0,0,0
clam_32,Timeout,60056.98,245,118,0,Unknown,0,0,0,0
clam_33,Timeout,64777.168,22,6,5,Unknown,0,0,0,0
clam_34,Valid,359.64563,12,11,2,Unknown,0,0,0,0
clam_35,Valid,21511.713,10,9,3,Unknown,0,0,0,0
clam_36,Valid,56.659615,0,0,0,Unknown,0,0,0,0
clam_37,Valid,55.776768,0,0,0,Unknown,0,0,0,0
clam_38,Valid,73.69666,1,1,1,Unknown,0,0,0,0
clam_40,Timeout,60021.254,191,117,22,Unknown,0,0,0,0
clam_41,Timeout,60080.742,117,95,11,Unknown,0,0,0,0
clam_42,Timeout,60013.45,6,6,1,Unknown,0,0,0,0
clam_43,Valid,731.8968,5,5,1,Unknown,0,0,0,0
clam_44,Timeout,60414.543,96,77,3,Unknown,0,0,0,0
clam_45,Valid,103.84712,5,5,2,Unknown,0,0,0,0
clam_46,Valid,228.44756,3,3,1,Unknown,0,0,0,0
clam_47,Valid,292.96338,3,3,0,Unknown,0,0,0,0
clam_48,Valid,483.807,5,1,1,Unknown,0,0,0,0
clam_49,Timeout,67547.625,74,58,1,Unknown,0,0,0,0
clam_50,Timeout,60055.945,97,84,4,Unknown,0,0,0,0
clam_75,Valid,157.20033,1,1,1,Unknown,0,0,0,0
clam_76,Valid,720.7252,1,1,1,Unknown,0,0,0,0
clam_77,Valid,302.09692,2,2,2,Unknown,0,0,0,0
clam_78,Timeout,66161.48,47,4,4,Unknown,0,0,0,0
clam_79,Valid,5026.5605,13,7,7,Unknown,0,0,0,0
clam_80,Valid,4773.4014,12,6,6,Unknown,0,0,0,0
clam_81,Valid,1110.9553,4,4,4,Unknown,0,0,0,0
clam_82,Valid,625.9742,5,3,3,Unknown,0,0,0,0
clam_83,Timeout,60446.77,26,17,1,Unknown,0,0,0,0
clam_84,Timeout,60561.387,26,10,8,Unknown,0,0,0,0
clam_85,Valid,968.26447,6,4,4,Unknown,0,0,0,0
clam_86,Timeout,73814.79,31,22,7,Unknown,0,0,0,0
